names,values_a,values_b
Ms. Opal Klein DDS,5814,2082
Rachelle Abernathy,337,3627
Barbra Wolff,6978,7230
Vada Collier,2939,8609
Ruel Johnson-Krajcik,8545,1457
Othel Ortiz,6522,2534
Sasha Leuschke,3734,7644
Mr. Cristian Ernser,8519,802
Dr. Smith Connelly DVM,8756,9567
Miss Jerilynn Erdman,5920,1750
Manford Daniel,5061,8627
Edgar Schamberger,4580,2965
Laisha Friesen,1796,7634
Oralia Stroman,1851,1773
Dr. Immanuel Kulas,7495,8406
Brooks Schaefer-Doyle,5776,7282
Mr. Darwin Gleason Sr.,4676,8601
Lamonte Prohaska,7736,5387
Dr. Ezequiel Miller V,6352,8450
Elvia Williamson-Anderson,4898,5744
Waldemar VonRueden,4049,8617
Mr. Purl Morissette,9184,4064
Mr. Lacey Bartoletti I,523,9089
Wardell D'Amore Sr.,43,2212
Reginald Murray,7565,1177
Louie Murray PhD,4493,6022
Waymon Muller-Rempel,4733,9048
Weldon Ryan MD,105,9580
Sarai Terry,5291,2215
Arletta Flatley,5135,3932
Ms. Treena Schneider MD,1832,9020
Mr. Jerome Lubowitz,2413,8913
Donavon Bayer,3927,3514
Oney Gulgowski,954,2775
Authur Boehm-Bauch,2530,6937
Isadore Boyle,1113,8101
Devin Vandervort,7889,6731
Ms. Bryn Gorczany,9290,6870
Mr. Christophe Franecki PhD,276,6965
Dr. Jade Cassin DDS,6890,65
Eddie Rempel-Herman,4528,1923
Carry Satterfield PhD,7370,9989
Isom Stracke,3903,5844
Genevra Leannon-Schiller,7222,6062
Mira Crona,5960,6508
Hulda Rempel,5151,2373
Verdie Weimann MD,2262,8604
Mr. Crockett Labadie V,3572,5169
Andrae Murphy,2295,5699
Kandice Jakubowski,3670,9832
Miss Kailyn Bosco PhD,4446,3277
Dr. Wayne Kunde,827,6062
Avie Douglas,9720,230
Brigitte Murphy-DuBuque,5858,2752
Sie Runolfsson,92,1443
Jones Weissnat,4626,5065
Sonia Yundt-Johns,2951,6075
Reanna McGlynn,2399,4384
Domonique Corwin,4068,9042
Janay Boyle,8648,3702
Dr. Bryon White,8300,7373
Kristian Harris,8760,7273
Dr. Kaila Erdman,1418,8630
Dr. Elissa Mills,4829,75
Mirtie Cronin,7595,4543
Zachary Wolf-Fahey,602,2958
Gearld Baumbach-Feest,4048,6999
Elaina Connelly-Abbott,3306,2974
Eleanor Jacobs,6234,9411
Isidore Schinner IV,6896,8835
Miss Scarlet Considine DDS,3158,6539
Carmel Bailey,301,1778
Onie Jones,8784,1171
Robley Ruecker,6895,3383
Greta Konopelski,1154,2844
Estel Osinski,4958,3399
Ms. Riya Sipes,8766,4883
Janeen Mraz MD,3656,2608
Ms. Ardelia Waelchi DVM,562,6220
Mr. Jess Bashirian,6615,5089
Reese Daugherty-Lakin,3570,8525
Catalina Heller,4324,8175
Tinie Lubowitz,1404,1733
Tyree Borer-Corwin,3991,8084
Emile McGlynn,3571,6381
Mr. Bedford Luettgen I,5313,7554
Omie Carroll PhD,1956,2736
Tyriq West,4265,3656
Miss Marylin Little,1626,3184
Mitchell Hagenes,8447,6548
Burnice Klein,243,8034
Mrs. Retta Homenick,1267,5697
Helene Ullrich DDS,7323,67
Kyara Donnelly,1712,9645
Mr. Elwin Stoltenberg DDS,8052,4139
Mr. Leonidas Sawayn DVM,7969,443
Male Greenfelder,5871,4677
Dr. Friend Price,7414,530
Garvin Williamson II,9806,2926
Maida Heller,4645,9804
Pratt Howe,3878,788
Jethro Gusikowski,8389,5372
Elaina Russel,6703,3948
Mrs. Dorotha Bruen PhD,4367,5198
Mr. Walton Skiles DDS,8666,9879
Clarice Kuvalis MD,9632,1159
Evie Herman MD,4844,5091
Beverley Bergstrom DVM,2131,7394
Ms. Shantel Hettinger MD,669,1271
Vita Botsford,2444,8049
Roosevelt Hackett,4111,9905
Moe Welch,2561,8270
Dr. Arvin Orn,2538,4771
Jemima Rath-Harber,9127,4995
Mr. Lindbergh Gusikowski IV,4196,1727
Mr. Lonny Reichert,3254,1031
Dr. Eppie Will MD,777,4144
Dr. Landan Romaguera V,1395,6839
Hosie Cummerata,4127,9929
Deedee Barton-Ritchie,6988,2182
Dr. Jade Mann MD,8838,578
Juanita Douglas,9887,7349
Kimberly Gottlieb DVM,4631,57
Mrs. Bailee Shields PhD,883,8456
Shanae Bahringer,9619,1386
Dr. Pepper Treutel,5049,9680
Kole Zboncak,6492,9141
Mrs. Gabriela Maggio,8149,7694
Carlyle Wiza,5943,2778
Lois Gislason,650,8593
Mr. Leo Gusikowski,1090,2093
Bud Marvin,8607,1544
Mr. Trenton Spencer,850,5268
Leif Schoen,2839,4334
Calleigh Renner,8231,7529
Chancy O'Reilly,2586,1104
Wing Nikolaus,6362,7353
Lenord McClure,8354,245
Marry Hartmann-Ruecker,9200,7459
Gannon Volkman,7587,179
Johathan Ebert,6116,5255
Mrs. Brianna Wiegand,7856,6703
Burdette Bernier,7856,4389
Mr. Bird Morissette,9889,9699
Brenden Bartell,9228,3095
Evert Hansen,6737,8923
Dillon Kreiger,8248,8276
Reinhold Ebert I,553,9007
Woodrow Ullrich,2151,8424
Johnson Schulist,5348,5961
Harvy Shields,7387,2947
Dr. Sherrie Satterfield DDS,4154,9060
Odell Trantow,6045,4192
Jacquelyn Parker,7907,881
Godfrey Brakus-Kerluke,251,902
Cleo Lockman,1682,5743
Ms. Gladis Hoppe,6350,4288
Sue Sauer-Collier,1018,2960
Shardae Stanton,7974,7539
Elois Kohler-Kuhic,9143,8630
Kenyatta Cremin,3634,7563
Elie Flatley,529,2799
Anika Weber,4039,1445
Francina Morissette,8693,3331
Linton Mitchell,2069,9142
Cleo Hane,6966,3690
Gena Gutkowski,9464,3719
Mr. Benson Walter,5663,9623
Weaver Wintheiser,2634,283
Hollie Block,2859,2683
Tatyanna Spinka PhD,4216,1975
Estrella Osinski DVM,3204,6788
Dr. German Durgan,5199,4094
Fredy Becker-Christiansen,8495,1620
Elbridge Maggio,414,9176
Brent Keeling,2903,9438
Devin Hand,6514,2634
Mr. Ellsworth Ziemann,302,586
Mr. Franklyn Green DVM,2890,6397
Tianna Shields,271,4811
Christoper Lehner,704,104
Luberta Monahan,2049,6106
Jamal Hettinger,6228,4928
Dr. Austyn Stokes V,8223,3895
Gaines O'Connell,3620,1400
Mr. Estill Koelpin Jr.,6525,2152
Spurgeon Smith,2774,294
Elissa Russel,8461,226
Mr. Christopher O'Kon Jr.,9889,1241
Aditya Marks III,4112,4741
Otto Bogan,8699,4140
Fidelia Paucek-Ortiz,2568,4049
Mr. Wood Kub II,9555,7008
Ford Wiegand,7036,5859
Abe Senger,4891,9250
Carolyn Spencer,4484,8659
Aarav Lindgren,6368,4201
Brielle Pollich,8935,1895
Kingston Ward-Feil,8780,4045
Marina Crooks,9838,9136
Dr. Darcie Zieme MD,1886,3083
Jewell Ullrich,9433,7593
Miranda Hyatt,942,4112
Clora Reilly-Volkman,340,6506
Mrs. Cleora Shanahan PhD,6593,2110
Yaretzi Paucek,7283,2502
Kennedy Witting,7488,5017
Dr. Tamatha Abbott DDS,6782,1432
Natalia Rohan,6851,9070
Damon Reichert Sr.,7940,4658
Livia Bode-Turcotte,6162,3166
Gretchen Gorczany DVM,7647,8872
Letitia Anderson,5645,8421
Miss Kenley Jones,194,1274
Dorene Medhurst,172,1801
Isadora Dickinson,8555,8267
Luz Howe-Dietrich,5337,8223
Luverne Baumbach-Carroll,4317,1522
Rudy Howell,1464,1243
Geary Windler MD,3467,2955
Mrs. Charlotta Prosacco DDS,8370,6222
Miss Diana Murray DDS,237,5353
Smith Turcotte,9544,7796
Linnea Hane-Hermiston,677,4575
Antonina VonRueden-Botsford,9323,9337
Thorwald Mraz IV,3047,2333
Exa Simonis,8537,7722
Marchello Romaguera,1770,8783
Dr. Thresa Cassin,3629,6363
Blaine Farrell,4672,6967
Cedrick Bednar,4024,1598
Dr. Rhoda Tromp DVM,4013,9944
Karri Glover,42,6439
Taina Wehner,813,8776
Ermina Marks,5798,9428
Skylar Cummerata,1109,7723
Ardis Bradtke,6920,452
Tempie Jakubowski,8896,2434
Cleveland Denesik,4218,5502
Leitha Dooley,2343,7692
Dr. Justice O'Kon,394,8265
Natasha Armstrong,3403,4765
Mr. Philo Smitham,9855,9768
Leda Cormier-Huel,3438,1773
Ella Kutch,865,1574
Donta Schulist,8155,9437
Kaylah Heaney,2391,4980
Dagny Langworth,7098,7989
Kirstie Kuhic,1224,1336
Brycen O'Hara,508,4442
Jame Bernhard,574,4726
Mr. Williams Fisher DVM,7761,8886
Vinson Larkin-Bednar,5116,9516
Gale Nikolaus-Cummerata,9868,6481
Jerrell Jerde,2222,2657
Mrs. Ally Fisher,1391,1721
Mr. Dyllan West,6646,7720
Elease Gutkowski,5693,7663
Miss Linsey Hudson MD,8474,4425
Neha Boyer-Zemlak,3957,1875
Gladis Stroman-Pfannerstill,9982,8322
Miss Brigitte Rolfson PhD,5922,8770
Hershel Stamm,1015,2834
Annis Hammes,4476,1657
Khiry Bayer I,2079,168
Ines Schoen,3762,403
Darcy O'Connell PhD,3090,587
Cordaro Thompson-Lemke,4560,4321
Mr. Kieth Goldner Sr.,863,3167
Russell Quitzon,6143,9434
Adams Kuhlman,5799,7159
Carleigh Fay,827,3603
Marcella Marvin,5648,7078
Giancarlo Tremblay,2935,1699
Dr. Corey Collins,6279,5933
Dr. Richmond Oberbrunner,7194,6104
Miss Valeria Connelly MD,6222,5696
Madalyn Franecki,4159,5294
Cielo Reichel,7950,7443
Dontae Huel,7426,2238
Alexandro Schimmel,4940,4948
Jude Gutkowski,1590,9602
Nohely Hudson,1567,744
Mrs. Latoyia Graham DDS,1530,6841
Duwayne Raynor,9274,1192
Arley Roob PhD,6374,6459
Ms. Jeanne Weissnat DDS,4515,7045
Ryan O'Connell Sr.,7980,6039
Loda Durgan,5396,5886
James Predovic PhD,9336,9176
Phoenix Moen-King,4118,2196
Clotilde Paucek,1324,9855
Elvie Murphy,8349,1716
Wendel Predovic,7060,4274
Alexandra Schiller,9202,9468
Karl Kilback,8449,1648
Samiyah Balistreri-Dicki,9204,4632
Mr. Jaheim Watsica MD,822,357
Shedrick Cormier,1022,7109
Dr. Dalvin Gislason PhD,9419,1752
Mrs. Dellia Reilly DVM,5508,7326
Kieran Zemlak,3884,7894
Aliya Torphy-Ward,3582,5643
Arno Lueilwitz,5591,4074
Ms. Julissa Murphy DDS,4571,9174
Arnie Ebert,907,3231
Mr. Milford O'Keefe,515,6718
Rosalie McClure,912,5118
Alvie Dibbert III,9141,5489
Justus Kuphal,6613,5640
Nadia Torphy,5573,1415
Wilma Kling,2242,2109
Mckenna Wolf-Medhurst,3495,1910
Akira Collins DDS,6646,8383
Ricci Effertz-Hilll,2923,2561
Schley Abbott-Jacobi,3362,6083
Dr. Cecilia Kunde,3458,5287
Gaynell Klein MD,5541,4384
Rosella Runolfsson,8737,1177
Linda Wuckert-Runolfsdottir,288,110
Dr. Cortney Zemlak,8838,5603
Mr. Cecil O'Hara III,9782,7175
Jocelyn Stehr MD,8457,333
Nanci Jacobson,8128,5903
Dudley O'Keefe Jr.,9167,4558
Westley Feest,40,2233
Miss Arline Collins,1092,735
Mr. Brandon Effertz,1794,6591
Candice Walsh,9484,3501
Latrice Tromp,2913,9627
Chancy Gerhold-Green,6290,5051
Carnell Stracke PhD,9175,7633
Ms. Arley Bosco DVM,9456,1256
Marianne Gleichner,1795,9890
Ardell Hauck-Macejkovic,401,5985
Dorris Wuckert,2651,9922
Rebecca Koepp,2572,2729
Lovell Ziemann,7849,8522
Kael Nikolaus,935,900
Kelsea Rohan,6905,5657
Dot Collier,5798,9022
Miss Lanita Paucek,9831,7621
Miles Kub,7097,7138
Taft Collier III,836,448
Lemuel Heller,9436,1286
Dr. Edwardo Jones DVM,5400,9206
Dr. Aurelio Champlin Jr.,9067,1379
Ms. Rebeca Hodkiewicz,2315,1204
